Date : 2024-08-22 13:15:51
Directory : f:\毕设-快递系统
Total : 69 files,  19838 codes, 28 comments, 469 blanks, all 20335 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     13,974 |          0 |          2 |     13,976 |
| TypeScript JSX     |         45 |      4,578 |         24 |        265 |      4,867 |
| CSS                |          5 |        980 |          1 |        151 |      1,132 |
| TypeScript         |          9 |        244 |          1 |         31 |        276 |
| JSON with Comments |          2 |         29 |          0 |          2 |         31 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |          8 |          2 |          4 |         14 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                            |         69 |     19,838 |         28 |        469 |     20,335 |
| . (Files)                                                    |          9 |     14,122 |          3 |         26 |     14,151 |
| public                                                       |          2 |          2 |          0 |          0 |          2 |
| src                                                          |         58 |      5,714 |         25 |        443 |      6,182 |
| src\app                                                      |         21 |        599 |          6 |         95 |        700 |
| src\app (Files)                                              |          5 |        226 |          1 |         36 |        263 |
| src\app\api                                                  |          3 |         94 |          0 |         13 |        107 |
| src\app\dashboard                                            |          8 |        224 |          5 |         29 |        258 |
| src\app\dashboard (Files)                                    |          2 |         34 |          0 |          5 |         39 |
| src\app\dashboard\control                                    |          1 |         56 |          0 |          4 |         60 |
| src\app\dashboard\links                                      |          1 |         47 |          0 |          4 |         51 |
| src\app\dashboard\me                                         |          1 |         10 |          0 |          3 |         13 |
| src\app\dashboard\order                                      |          3 |         77 |          5 |         13 |         95 |
| src\app\dashboard\order (Files)                              |          2 |         37 |          0 |          5 |         42 |
| src\app\dashboard\order\[slug]                               |          1 |         40 |          5 |          8 |         53 |
